journal_name,journal_name_norm,issn,eissn,jcr_year,jif,categories,source_files,% of Articles in Citable items,% of Citable OA,2024 JCI,2024 JIF,5 Year JIF,5 Year JIF Quartile,AIS Quartile,AIS Rank,Article Influence Score,Citable Items,Cited Half-Life,Citing Half-Life,Edition,Eigenfactor,Immediacy Index,JCI Percentile,JCI Quartile,JCI Rank,JCR Abbreviation,JIF Percentile,JIF Quartile,JIF Rank,JIF Without Self Cites,Normalized Eigenfactor,Publisher,Total Articles,Total Citations
ADVANCED ENGINEERING INFORMATICS,ADVANCED ENGINEERING INFORMATICS,1474-0346,1873-5320,2024,9.9,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | ENGINEERING, MULTIDISCIPLINARY","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE_JCR_JournalResults_02_2026.csv;ENGINEERING, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",97.42%,7.17%,2.18,9.9,10,Q1,Q1,41/202 | 6/174,1.527,658,2.9,4.1,SCIE,0.015,2,91.91 | 97.49,Q1,17/204 | 5/179,ADV ENG INFORM,91.4 | 98.0,Q1,18/204 | 4/179,7.8,3.296,ELSEVIER SCI LTD,641,"16,641"
Battery Energy,BATTERY ENERGY,2768-1688,2768-1696,2024,9.9,"ELECTROCHEMISTRY | ENERGY & FUELS | MATERIALS SCIENCE, MULTIDISCIPLINARY","ELECTROCHEMISTRY_JCR_JournalResults_02_2026.csv;ENERGY & FUELS_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",70.83%,100%,1.38,9.9,9.9,Q1,Q1,26/173 | 4/44 | 71/455,1.736,48,1.7,4.9,ESCI,0.001,2.3,84.34 | 85.85 | 87.50,Q1,29/182 | 6/44 | 66/463,BATTERY ENERGY,87.1 | 87.3 | 89.8,Q1,24/182 | 5/44 | 59/461,9.7,0.319,WILEY,34,"1,144"
Energy Strategy Reviews,ENERGY STRATEGY REVIEWS,2211-467X,2211-4688,2024,9.9,ENERGY & FUELS,ENERGY & FUELS_JCR_JournalResults_02_2026.csv,94.65%,99.57%,1.19,9.9,10.1,Q1,Q1,23/173,1.784,318,3.1,4.6,SCIE,0.01,2.8,75.55,Q1,45/182,ENERGY STRATEG REV,87.1,Q1,24/182,9.4,2.32,ELSEVIER,301,"9,334"
IEEE Transactions on Industrial Informatics,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,1551-3203,1941-0050,2024,9.9,"AUTOMATION & CONTROL SYSTEMS | COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","AUTOMATION & CONTROL SYSTEMS_JCR_JournalResults_02_2026.csv;COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS_JCR_JournalResults_02_2026.csv",99.91%,3.04%,2.27,9.9,10.7,Q1,Q1,10/87 | 11/172,2.443,"1,132",3.5,4.3,SCIE,0.085,1.8,95.20 | 98.31,Q1,2/89 | 9/177,IEEE T IND INFORM,94.9 | 95.2,Q1,5/89 | 9/177,9.1,18.945,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,"1,131","59,854"
Microsystems & Nanoengineering,MICROSYSTEMS AND NANOENGINEERING,2055-7434,2055-7434,2024,9.9,NANOSCIENCE & NANOTECHNOLOGY,NANOSCIENCE & NANOTECHNOLOGY_JCR_JournalResults_02_2026.csv,93.53%,100%,1.52,9.9,9.6,Q1,Q1,26/147,1.765,201,3.2,6.2,SCIE,0.008,1.5,86.73,Q1,20/147,MICROSYST NANOENG,85.4,Q1,22/147,9.5,1.769,SPRINGERNATURE,188,"6,695"
Ultrafast Science,ULTRAFAST SCIENCE,2097-0331,2765-8791,2024,9.9,OPTICS,OPTICS_JCR_JournalResults_02_2026.csv,84.38%,97.62%,2.57,9.9,10.2,Q1,Q1,11/125,2.394,32,2,7.8,ESCI,0.001,1.4,93.20,Q1,9/125,ULTRAFAST SCI,91.6,Q1,11/125,9.7,0.254,AMER ASSOC ADVANCEMENT SCIENCE,27,659
COMPOSITES SCIENCE AND TECHNOLOGY,COMPOSITES SCIENCE AND TECHNOLOGY,0266-3538,1879-1050,2024,9.8,"MATERIALS SCIENCE, COMPOSITES","MATERIALS SCIENCE, COMPOSITES_JCR_JournalResults_02_2026.csv",100%,9.51%,1.4,9.8,9.3,Q1,Q1,4/34,1.476,486,6.5,4.6,SCIE,0.028,2.3,84.29,Q1,6/35,COMPOS SCI TECHNOL,86.8,Q1,5/34,9,6.234,ELSEVIER SCI LTD,486,"49,970"
DESALINATION,DESALINATION,0011-9164,1873-4464,2024,9.8,"ENGINEERING, CHEMICAL","ENGINEERING, CHEMICAL_JCR_JournalResults_02_2026.csv",96.37%,8.45%,1.81,9.8,9.9,Q1,Q1,21/174,1.217,991,6.9,4.5,SCIE,0.024,2.6,95.74,Q1,8/176,DESALINATION,92.3,Q1,14/176,7.6,5.485,ELSEVIER,955,"62,051"
Food Chemistry,FOOD CHEMISTRY,0308-8146,1873-7072,2024,9.8,"CHEMISTRY, APPLIED","CHEMISTRY, APPLIED_JCR_JournalResults_02_2026.csv",94.49%,9.32%,1.85,9.8,9.7,Q1,Q1,7/76,1.15,"3,976",5.1,4.7,SCIE,0.123,1.9,94.16,Q1,5/77,FOOD CHEM,92.8,Q1,6/76,8.5,27.454,ELSEVIER SCI LTD,"3,757","244,181"
IEEE Transactions on Affective Computing,IEEE TRANSACTIONS ON AFFECTIVE COMPUTING,1949-3045,1949-3045,2024,9.8,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | COMPUTER SCIENCE, CYBERNETICS","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE_JCR_JournalResults_02_2026.csv;COMPUTER SCIENCE, CYBERNETICS_JCR_JournalResults_02_2026.csv",99.47%,8.21%,2.29,9.8,10.2,Q1,Q1,25/202 | 3/32,2.048,187,3.2,6.5,SCIE,0.01,1.9,93.87 | 98.44,Q1,1/32 | 13/204,IEEE T AFFECT COMPUT,90.9 | 95.3,Q1,19/204 | 2/32,8.9,2.147,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,186,"9,073"
IEEE TRANSACTIONS ON MEDICAL IMAGING,IEEE TRANSACTIONS ON MEDICAL IMAGING,0278-0062,1558-254X,2024,9.8,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS | ENGINEERING, ELECTRICAL & ELECTRONIC","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS_JCR_JournalResults_02_2026.csv;ENGINEERING, ELECTRICAL & ELECTRONIC_JCR_JournalResults_02_2026.csv",100%,11.98%,2.29,9.8,11.3,Q1,Q1,15/359 | 7/172,3.021,351,5.8,5.5,SCIE,0.038,2.7,95.76 | 96.06,Q1,15/368 | 8/177,IEEE T MED IMAGING,94.6 | 94.7,Q1,10/177 | 20/368,9.3,8.542,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,351,"36,851"
IEEE Transactions on Smart Grid,IEEE TRANSACTIONS ON SMART GRID,1949-3053,1949-3061,2024,9.8,"ENGINEERING, ELECTRICAL & ELECTRONIC","ENGINEERING, ELECTRICAL & ELECTRONIC_JCR_JournalResults_02_2026.csv",100%,4.84%,2.24,9.8,10.7,Q1,Q1,19/359,2.686,465,5.2,5.3,SCIE,0.05,3.2,95.79,Q1,16/368,IEEE T SMART GRID,94.7,Q1,20/368,8.8,11.133,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,465,"43,255"
Journal of Energy Storage,JOURNAL OF ENERGY STORAGE,2352-152X,2352-1538,2024,9.8,ENERGY & FUELS,ENERGY & FUELS_JCR_JournalResults_02_2026.csv,92.39%,8.12%,1.32,9.8,10,Q1,Q1,41/173,1.324,"4,417",2.3,4.4,SCIE,0.091,2.4,80.49,Q1,36/182,J ENERGY STORAGE,86.0,Q1,26/182,7.9,20.401,ELSEVIER,"4,081","100,755"
Progress in Energy,PROGRESS IN ENERGY,,2516-1083,2024,9.8,ENERGY & FUELS,ENERGY & FUELS_JCR_JournalResults_02_2026.csv,19.05%,71.01%,0.7,9.8,14,Q1,Q1,10/173,3.185,21,3.1,5.4,ESCI,0.002,2,51.37,Q2,89/182,PROG ENERGY,86.0,Q1,26/182,9.6,0.428,IOP Publishing Ltd,4,"1,110"
Science China-Chemistry,SCIENCE CHINA-CHEMISTRY,1674-7291,1869-1870,2024,9.8,"CHEMISTRY, MULTIDISCIPLINARY","CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",82.2%,1.24%,1.42,9.8,8.4,Q1,Q1,39/238,1.622,455,3.3,4.4,SCIE,0.016,2,86.10,Q1,34/241,SCI CHINA CHEM,88.1,Q1,29/239,8.5,3.561,SCIENCE PRESS,374,"14,559"
IEEE TRANSACTIONS ON MULTIMEDIA,IEEE TRANSACTIONS ON MULTIMEDIA,1520-9210,1941-0077,2024,9.7,"COMPUTER SCIENCE, INFORMATION SYSTEMS | COMPUTER SCIENCE, SOFTWARE ENGINEERING","COMPUTER SCIENCE, INFORMATION SYSTEMS_JCR_JournalResults_02_2026.csv;COMPUTER SCIENCE, SOFTWARE ENGINEERING_JCR_JournalResults_02_2026.csv",100%,1.72%,2.56,9.7,9,Q1,Q1,15/249 | 7/129,2.103,872,2.9,5,SCIE,0.032,2.5,97.48 | 98.06,Q1,3/129 | 7/258,IEEE T MULTIMEDIA,97.1 | 97.3,Q1,4/129 | 8/258,7.7,7.184,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,872,"24,404"
JOURNAL OF COLLOID AND INTERFACE SCIENCE,JOURNAL OF COLLOID AND INTERFACE SCIENCE,0021-9797,1095-7103,2024,9.7,"CHEMISTRY, PHYSICAL","CHEMISTRY, PHYSICAL_JCR_JournalResults_02_2026.csv",99.96%,7.57%,1.47,9.7,8.9,Q1,Q2,49/185,1.257,"2,805",3.9,3.8,SCIE,0.097,2.6,86.22,Q1,26/185,J COLLOID INTERF SCI,83.5,Q1,31/185,9,21.637,ACADEMIC PRESS INC ELSEVIER SCIENCE,"2,804","146,663"
Materials Today Physics,MATERIALS TODAY PHYSICS,2542-5293,2542-5293,2024,9.7,"MATERIALS SCIENCE, MULTIDISCIPLINARY | PHYSICS, APPLIED","MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;PHYSICS, APPLIED_JCR_JournalResults_02_2026.csv",97.65%,6%,1.99,9.7,10,Q1,Q1,23/187 | 62/455,1.901,298,2.7,4.9,SCIE,0.016,2.7,92.33 | 93.85,Q1,12/187 | 36/463,MATER TODAY PHYS,87.1 | 89.6,Q1,20/187 | 60/461,9.4,3.485,ELSEVIER,291,"11,875"
ULTRASONICS SONOCHEMISTRY,ULTRASONICS SONOCHEMISTRY,1350-4177,1873-2828,2024,9.7,"CHEMISTRY, MULTIDISCIPLINARY","CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",96.63%,99.77%,2.18,9.7,9.1,Q1,Q1,54/238,1.155,445,5.3,5.3,SCIE,0.021,2,93.15,Q1,17/241,ULTRASON SONOCHEM,87.7,Q1,30/239,8.6,4.6,ELSEVIER,430,"37,546"
Acta Biomaterialia,ACTA BIOMATERIALIA,1742-7061,1878-7568,2024,9.6,"MATERIALS SCIENCE, BIOMATERIALS","MATERIALS SCIENCE, BIOMATERIALS_JCR_JournalResults_02_2026.csv",92.04%,23.39%,1.68,9.6,10.3,Q1,Q1,8/54,1.753,540,5.7,6.2,SCIE,0.045,1.7,90.00,Q1,6/55,ACTA BIOMATER,88.2,Q1,7/55,9.4,10.043,ELSEVIER SCI LTD,497,"65,158"
Advanced Healthcare Materials,ADVANCED HEALTHCARE MATERIALS,2192-2640,2192-2659,2024,9.6,"MATERIALS SCIENCE, BIOMATERIALS | NANOSCIENCE & NANOTECHNOLOGY","MATERIALS SCIENCE, BIOMATERIALS_JCR_JournalResults_02_2026.csv;NANOSCIENCE & NANOTECHNOLOGY_JCR_JournalResults_02_2026.csv",85.79%,20.37%,1.37,9.6,10.8,Q1,Q1,24/147 | 6/54,1.853,"1,210",3.7,5,SCIE,0.042,1.9,82.73 | 83.33,Q1,10/55 | 25/147,ADV HEALTHC MATER,84.7 | 88.2,Q1,23/147 | 7/55,9.1,9.348,WILEY,"1,038","43,897"
Biomaterials Research,BIOMATERIALS RESEARCH,1226-4601,2055-7124,2024,9.6,"MATERIALS SCIENCE, BIOMATERIALS","MATERIALS SCIENCE, BIOMATERIALS_JCR_JournalResults_02_2026.csv",87.93%,100%,1.39,9.6,12.5,Q1,Q1,5/54,1.984,116,3.4,5.3,SCIE,0.005,0.7,84.55,Q1,9/55,BIOMATER RES,88.2,Q1,7/55,9.4,1.108,AMER ASSOC ADVANCEMENT SCIENCE,102,"4,873"
Communications Materials,COMMUNICATIONS MATERIALS,,2662-4443,2024,9.6,"MATERIALS SCIENCE, MULTIDISCIPLINARY","MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",87.13%,100%,1.27,9.6,9.3,Q1,Q1,44/455,2.356,272,2.8,6.4,ESCI,0.008,1.5,83.26,Q1,78/463,COMMUN MATER,86.9,Q1,61/461,9.5,1.744,SPRINGERNATURE,237,"4,291"
Energy and AI,ENERGY AND AI,2666-5468,2666-5468,2024,9.6,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | ENERGY & FUELS","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE_JCR_JournalResults_02_2026.csv;ENERGY & FUELS_JCR_JournalResults_02_2026.csv",92.48%,100%,1.22,9.6,10.3,Q1,Q1,25/173 | 31/202,1.759,133,2.6,4.5,ESCI,0.004,1.8,76.65 | 81.62,Q1,38/204 | 43/182,ENERGY AI,84.9 | 90.4,Q1,20/204 | 28/182,8.8,0.849,ELSEVIER,123,"3,064"
Journal of Materiomics,JOURNAL OF MATERIOMICS,2352-8478,2352-8478,2024,9.6,"CHEMISTRY, PHYSICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY | PHYSICS, APPLIED","CHEMISTRY, PHYSICAL_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;PHYSICS, APPLIED_JCR_JournalResults_02_2026.csv",95.85%,99.78%,1.67,9.6,9.5,Q1,Q1,28/187 | 38/185 | 80/455,1.568,193,3.3,5.2,SCIE,0.007,3.9,87.84 | 89.52 | 91.18,Q1,17/187 | 23/185 | 49/463,J MATERIOMICS,83.0 | 86.9 | 89.0,Q1,21/187 | 32/185 | 61/461,8.8,1.513,ELSEVIER,185,"7,201"
Sustainable Production and Consumption,SUSTAINABLE PRODUCTION AND CONSUMPTION,2352-5509,2352-5509,2024,9.6,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY_JCR_JournalResults_02_2026.csv,85.28%,38.52%,2.06,9.6,10.5,Q1,Q1,15/99,1.747,360,3.1,5,"SCIE, SSCI",0.018,1.7,95.63,Q1,5/103,SUSTAIN PROD CONSUMP,86.9,Q1,14/103,9,4.116,ELSEVIER,307,"15,572"
ACM TRANSACTIONS ON GRAPHICS,ACM TRANSACTIONS ON GRAPHICS,0730-0301,1557-7368,2024,9.5,"COMPUTER SCIENCE, SOFTWARE ENGINEERING","COMPUTER SCIENCE, SOFTWARE ENGINEERING_JCR_JournalResults_02_2026.csv",100%,22.81%,2.55,9.5,10.9,Q1,Q1,5/129,2.604,281,7.2,5.8,SCIE,0.028,0.5,97.29,Q1,4/129,ACM T GRAPHIC,96.5,Q1,5/129,8.1,6.217,ASSOC COMPUTING MACHINERY,281,"35,593"
Advanced Membranes,ADVANCED MEMBRANES,,2772-8234,2024,9.5,"ENGINEERING, CHEMICAL","ENGINEERING, CHEMICAL_JCR_JournalResults_02_2026.csv",95.45%,100%,1.3,9.5,8.9,Q1,Q1,14/174,1.468,22,2.2,5.1,ESCI,0.001,2.2,91.76,Q1,15/176,ADV MEMBR,91.8,Q1,15/176,8.9,0.135,KEAI PUBLISHING LTD,21,513
Corrosion Communications,CORROSION COMMUNICATIONS,,2667-2669,2024,9.5,"MATERIALS SCIENCE, MULTIDISCIPLINARY | METALLURGY & METALLURGICAL ENGINEERING","MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;METALLURGY & METALLURGICAL ENGINEERING_JCR_JournalResults_02_2026.csv",88.24%,100%,1.34,9.5,9.6,Q1,Q1,5/94 | 70/455,1.739,34,2.4,7.9,ESCI,0.001,2.6,84.99 | 92.27,Q1,70/463 | 8/97,CORROS COMMUN,86.4 | 96.4,Q1,4/97 | 63/461,9.4,0.289,ELSEVIER,30,993
Energy Nexus,ENERGY NEXUS,2772-4271,2772-4271,2024,9.5,ENERGY & FUELS,ENERGY & FUELS_JCR_JournalResults_02_2026.csv,91.67%,99%,1.36,9.5,9.5,Q1,Q1,37/173,1.403,84,2.3,5.8,ESCI,0.003,1.3,83.24,Q1,31/182,ENERGY NEXUS,84.3,Q1,29/182,9.3,0.598,ELSEVIER,77,"2,407"
Journal of Knowledge Management,JOURNAL OF KNOWLEDGE MANAGEMENT,1367-3270,1758-7484,2024,9.5,INFORMATION SCIENCE & LIBRARY SCIENCE,INFORMATION SCIENCE & LIBRARY SCIENCE_JCR_JournalResults_02_2026.csv,98.53%,6.8%,2.08,9.5,9.3,Q1,Q1,20/159,1.281,136,5.3,7.3,SSCI,0.007,1.4,94.28,Q1,10/166,J KNOWL MANAG,97.9,Q1,4/166,8.3,1.483,EMERALD GROUP PUBLISHING LTD,134,"10,791"
Journal of Materials Chemistry A,JOURNAL OF MATERIALS CHEMISTRY A,2050-7488,2050-7496,2024,9.5,"CHEMISTRY, PHYSICAL | ENERGY & FUELS | MATERIALS SCIENCE, MULTIDISCIPLINARY","CHEMISTRY, PHYSICAL_JCR_JournalResults_02_2026.csv;ENERGY & FUELS_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",89.78%,11.95%,1.43,9.5,10.3,Q1,Q1,23/173 | 35/185 | 69/455,1.784,"2,758",5.3,4.5,SCIE,0.166,2.1,84.59 | 85.99 | 87.15,Q1,26/182 | 29/185 | 60/463,J MATER CHEM A,82.4 | 84.3 | 86.4,Q1,29/182 | 33/185 | 63/461,9,37.135,ROYAL SOC CHEMISTRY,"2,476","216,588"
Current Opinion in Green and Sustainable Chemistry,CURRENT OPINION IN GREEN AND SUSTAINABLE CHEMISTRY,2452-2236,2452-2236,2024,9.4,"CHEMISTRY, MULTIDISCIPLINARY | GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY_JCR_JournalResults_02_2026.csv",90.22%,30.21%,1.59,9.4,9.7,Q1,Q1,19/99 | 37/238,1.667,92,3.6,2.8,SCIE,0.007,2.6,86.89 | 89.00,Q1,14/103 | 27/241,CURR OPIN GREEN SUST,85.9 | 87.2,Q1,15/103 | 31/239,9.3,1.588,ELSEVIER,83,"6,691"
Energy,ENERGY,0360-5442,1873-6785,2024,9.4,ENERGY & FUELS | THERMODYNAMICS,ENERGY & FUELS_JCR_JournalResults_02_2026.csv;THERMODYNAMICS_JCR_JournalResults_02_2026.csv,99.24%,8.62%,1.59,9.4,8.8,Q1,Q1,3/79 | 39/173,1.379,"4,055",3.8,4.6,SCIE,0.164,2.4,87.64 | 96.84,Q1,23/182 | 3/79,ENERGY,83.2 | 96.8,Q1,3/79 | 31/182,7.9,36.733,PERGAMON-ELSEVIER SCIENCE LTD,"4,024","201,742"
ACTA MATERIALIA,ACTA MATERIALIA,1359-6454,1873-2453,2024,9.3,"MATERIALS SCIENCE, MULTIDISCIPLINARY | METALLURGY & METALLURGICAL ENGINEERING","MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;METALLURGY & METALLURGICAL ENGINEERING_JCR_JournalResults_02_2026.csv",99.88%,23.38%,1.85,9.3,10.2,Q1,Q1,1/94 | 49/455,2.219,854,8.5,9.4,SCIE,0.07,1.7,91.47 | 97.42,Q1,3/97 | 40/463,ACTA MATER,86.0 | 95.4,Q1,5/97 | 65/461,8.6,15.704,PERGAMON-ELSEVIER SCIENCE LTD,853,"128,586"
Foundations and Trends in Computer Graphics and Vision,FOUNDATIONS AND TRENDS IN COMPUTER GRAPHICS AND VISION,1572-2740,1572-2759,2024,9.3,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS_JCR_JournalResults_02_2026.csv",100%,91.67%,1.64,9.3,12.2,Q1,Q1,6/172,3.48,3,11.7,3.5,ESCI,0,3.3,87.85,Q1,22/177,FOUND TRENDS COMPUT,94.1,Q1,11/177,9.3,0.08,NOW PUBLISHERS INC,3,458
INTERNATIONAL JOURNAL OF COMPUTER VISION,INTERNATIONAL JOURNAL OF COMPUTER VISION,0920-5691,1573-1405,2024,9.3,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE_JCR_JournalResults_02_2026.csv",100%,22.03%,1.84,9.3,15.5,Q1,Q1,5/202,4.46,341,7.5,4.7,SCIE,0.028,1,88.48,Q1,24/204,INT J COMPUT VISION,90.0,Q1,21/204,8.6,6.354,SPRINGER,341,"28,006"
Progress in Electromagnetics Research-PIER,PROGRESS IN ELECTROMAGNETICS RESEARCH-PIER,1070-4698,1559-8985,2024,9.3,"ENGINEERING, ELECTRICAL & ELECTRONIC | PHYSICS, APPLIED","ENGINEERING, ELECTRICAL & ELECTRONIC_JCR_JournalResults_02_2026.csv;PHYSICS, APPLIED_JCR_JournalResults_02_2026.csv",100%,38.89%,1.48,9.3,6,Q1,Q1,33/187 | 57/359,1.485,30,10.9,6.8,SCIE,0.002,0.4,87.36 | 90.11,Q1,19/187 | 47/368,PROG ELECTROMAGN RES,88.5 | 94.2,Q1,22/187 | 22/368,9.1,0.388,EMW PUBLISHING,30,"2,676"
CCS Chemistry,CCS CHEMISTRY,,2096-5745,2024,9.2,"CHEMISTRY, MULTIDISCIPLINARY","CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",95.72%,96.88%,1.72,9.2,8.6,Q1,Q1,32/238,1.926,304,2.5,5,ESCI,0.016,2.2,91.08,Q1,22/241,CCS CHEM,86.8,Q1,32/239,8.8,3.635,CHINESE CHEMICAL SOC,291,"9,854"
Collagen and Leather,COLLAGEN AND LEATHER,2097-1419,2731-6998,2024,9.2,"CHEMISTRY, APPLIED | MATERIALS SCIENCE, MULTIDISCIPLINARY","CHEMISTRY, APPLIED_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",80.56%,0%,1.12,9.2,9.6,Q1,Q1,104/455 | 6/76,1.282,36,1.5,5.1,ESCI,0,1,77.86 | 87.66,Q1,10/77 | 103/463,COLLAGEN LEATHER,85.8 | 91.4,Q1,66/461 | 7/76,8.4,0.073,SPRINGERNATURE,29,342
Energy Policy,ENERGY POLICY,0301-4215,1873-6777,2024,9.2,ENERGY & FUELS,ENERGY & FUELS_JCR_JournalResults_02_2026.csv,99.51%,33.62%,2.09,9.2,8.8,Q1,Q1,27/173,1.733,406,7.4,5.2,SCIE,0.042,1.8,94.23,Q1,11/182,ENERG POLICY,82.7,Q1,32/182,8.8,9.377,ELSEVIER SCI LTD,404,"68,208"
GREEN CHEMISTRY,GREEN CHEMISTRY,1463-9262,1463-9270,2024,9.2,"CHEMISTRY, MULTIDISCIPLINARY | GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY_JCR_JournalResults_02_2026.csv",82.66%,19.2%,1.41,9.2,9.8,Q1,Q1,22/99 | 38/238,1.631,865,5.4,5.1,SCIE,0.052,2.7,81.07 | 85.68,Q1,20/103 | 35/241,GREEN CHEM,85.0 | 86.8,Q1,16/103 | 32/239,8.6,11.617,ROYAL SOC CHEMISTRY,715,"76,130"
IEEE TRANSACTIONS ON MOBILE COMPUTING,IEEE TRANSACTIONS ON MOBILE COMPUTING,1536-1233,1558-0660,2024,9.2,"COMPUTER SCIENCE, INFORMATION SYSTEMS","COMPUTER SCIENCE, INFORMATION SYSTEMS_JCR_JournalResults_02_2026.csv",100%,2.73%,2.57,9.2,8.1,Q1,Q1,25/249,1.733,983,2.7,5.2,SCIE,0.02,2.7,97.87,Q1,6/258,IEEE T MOBILE COMPUT,96.7,Q1,9/258,7.8,4.475,IEEE COMPUTER SOC,983,"18,273"
Sustainable Materials and Technologies,SUSTAINABLE MATERIALS AND TECHNOLOGIES,2214-9937,2214-9937,2024,9.2,"ENERGY & FUELS | GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY | MATERIALS SCIENCE, MULTIDISCIPLINARY","ENERGY & FUELS_JCR_JournalResults_02_2026.csv;GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",95.57%,16.45%,1.43,9.2,9.8,Q1,Q1 | Q2,27/99 | 33/173 | 89/455,1.444,406,2.7,5,SCIE,0.008,2.5,82.04 | 85.99 | 87.15,Q1,19/103 | 26/182 | 60/463,SUSTAIN MATER TECHNO,82.7 | 85.0 | 85.8,Q1,16/103 | 32/182 | 66/461,8.7,1.784,ELSEVIER,388,"8,876"
ACM TRANSACTIONS ON INFORMATION SYSTEMS,ACM TRANSACTIONS ON INFORMATION SYSTEMS,1046-8188,1558-2868,2024,9.1,"COMPUTER SCIENCE, INFORMATION SYSTEMS","COMPUTER SCIENCE, INFORMATION SYSTEMS_JCR_JournalResults_02_2026.csv",98.85%,8.82%,2.27,9.1,8,Q1,Q1,33/249,1.531,174,3.6,5.2,SCIE,0.004,2.1,96.71,Q1,9/258,ACM T INFORM SYST,96.3,Q1,10/258,7.8,0.925,ASSOC COMPUTING MACHINERY,172,"4,674"
ACS Sensors,ACS SENSORS,2379-3694,2379-3694,2024,9.1,"CHEMISTRY, ANALYTICAL | CHEMISTRY, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY","CHEMISTRY, ANALYTICAL_JCR_JournalResults_02_2026.csv;CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;NANOSCIENCE & NANOTECHNOLOGY_JCR_JournalResults_02_2026.csv",90.73%,13.83%,1.49,9.1,8.9,Q1,Q1,33/147 | 41/238 | 6/111,1.539,647,3.8,5,SCIE,0.027,2.1,85.37 | 87.76 | 94.14,Q1,22/147 | 30/241 | 7/111,ACS SENSORS,84.0 | 86.0 | 96.8,Q1,24/147 | 34/239 | 4/111,8.5,5.955,AMER CHEMICAL SOC,587,"25,759"
COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,1093-9687,1467-8667,2024,9.1,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS_JCR_JournalResults_02_2026.csv",100%,37.75%,1.74,9.1,10.1,Q1,Q1,19/172,1.833,192,4.7,5.4,SCIE,0.008,1.7,90.68,Q1,17/177,COMPUT-AIDED CIV INF,93.5,Q1,12/177,6.8,1.824,WILEY,192,"9,967"
