title,year,journal,impact_factor,molecule_name,molecule_cid,molecule_smiles,molecule_type,functional_groups,role,interface_location,pce_max,voc,jsc,ff,perovskite_type,stability
Pre-Anchored Ionic Bond Mediators Enabling Controllable Monolayer Assembly for High-Performance Perovskite Solar Cells and Modules,,ADVANCED MATERIALS,30.2,arginine (Arg),6322,,,guanidinium tail,pre-adsorbed ionic bond mediator; suppresses self-aggregation of SAM molecules; passivates defects; strengthens interfacial coupling,on nickel oxid (NiOx); at the buried perovskite interface,26.67,,,,,PCE retention: 93 % (after 1700 h of maximum power point tracking under the ISOS-L-2 protocol)
Pre-Anchored Ionic Bond Mediators Enabling Controllable Monolayer Assembly for High-Performance Perovskite Solar Cells and Modules,,ADVANCED MATERIALS,30.2,"[4-(3,6-dimethyl-9H-carbazol-9-yl) butyl] phosphonic acid",,,,,forms the self-assembled monolayer (SAM) used as hole-selective contact,as a SAM (hole-selective contact),26.67,,,,,PCE retention: 93 % (after 1700 h of maximum power point tracking under the ISOS-L-2 protocol)
Preferred Parallel Alignment of Sulfonamide Enables High-performance Inverted Perovskite Solar Cells,,ADVANCED MATERIALS,30.2,4-carboxybenzenesulfonamide (CO-BSA),8739,,benzenesulfonamide derivative,carboxy; sulfonamide,molecule additive for defect passivation,"within the perovskite, coordinating to undercoordinated Pb2+ defect sites",26.53,,,,,efficiency retention: 96.1 % (1100 h of steady-state power output (SPO) measurement in air)
Preferred Parallel Alignment of Sulfonamide Enables High-performance Inverted Perovskite Solar Cells,,ADVANCED MATERIALS,30.2,4-cyanobenzenesulfonamide (CN-BSA),,,benzenesulfonamide derivative,cyano; sulfonamide,molecule additive for defect passivation,"within the perovskite, coordinating to undercoordinated Pb2+ defect sites",26.53,,,,,efficiency retention: 96.1 % (1100 h of steady-state power output (SPO) measurement in air)
Pseudo-Arch Bridge-Inspired Stress Modulation at Buried Interface for Stable High-Efficiency Perovskite Solar Cells,,ADVANCED MATERIALS,30.2,"4-(5,6-difluoro-2-(pyridin-2-yl)-1H-benzo[d]imidazol-1-yl)butan-1-ammonium iodide (FBI-PyAI)",,,novel molecule,difluoro; pyridin-2-yl; benzo[d]imidazol-1-yl; butan-1-ammonium iodide,passivate defects and induce vertically oriented perovskite crystallization,TiO2/perovskite interface,25.01,,,,,thermal stability (retention after thermal cycles): 88 % (50 thermal cycles (-15 to 65 degrees C)); photostability (retention after illumination): 95 % (800 h illumination under ISOS-L-1 protocol)
Radical Molecular Network-Buffer Minimizes Photovoltage Loss in FAPbI3 Perovskite Solar Cells,,ADVANCED MATERIALS,30.2,ATEMPO,,,in situ polymerizable radical molecule,,additive,{111}(c) perovskite facets,25.28,1.203,,,Formamidinium lead iodide (FAPbI(3)),moisture resistance: None None (None)
Realizing Stable Perovskite Solar Cells with Efficiency Exceeding 25.6% Through Crystallization Kinetics and Spatial Orientation Regulation,,ADVANCED MATERIALS,30.2,Hydantoin,10006,,versatile organic molecule,,modulate the crystallization of perovskite,precursor,25.66,,,,Organic-inorganic hybrid perovskites,MPP output retention: 96.8 % (ISOS-L-1I; 1600 h); environmental stability: None None (None); ion migration suppression: None None (None)
Sequential Molecule-Doped Hole Conductor to Achieve >23% Perovskite Solar Cells with 3000-Hour Operational Stability,,ADVANCED MATERIALS,30.2,Spiro-OMeTAD,16161850,,hole transport layer material,,hole transport layer (HTL),,23.4,,,,n-i-p,PCE retention in air: None % (in the air for 5200 h); PCE retention under maximum power point illumination: None % (after working at maximum power point under illumination for 3000 h)
Stabilizing Fullerene for Burn-in-Free and Stable Perovskite Solar Cells under Ultraviolet Preconditioning and Light Soaking,,ADVANCED MATERIALS,30.2,bathophenanthroline (Bphen),72812,,small molecule,,stabilizer; when in strengthened complex acts as interlayer,in-light perovskite/SnO2 side,23.09,,,,,retained efficiency after UV irradiation: 95 % (1100 h UV irradiation); retained efficiency after continuous illumination (maximum power point tracking): 92 % (1000 h continuous illumination of maximum power point tracking at 60 degrees C); IEC 61215 compliance (claimed proximity): None None (simulated UV preconditioning and light-soaking testing)
Stabilizing Fullerene for Burn-in-Free and Stable Perovskite Solar Cells under Ultraviolet Preconditioning and Light Soaking,,ADVANCED MATERIALS,30.2,"[6,6]-phenyl-C-61-butyric acid methyl ester",,,,,,,23.09,,,,,retained efficiency after UV irradiation: 95 % (1100 h UV irradiation); retained efficiency after continuous illumination (maximum power point tracking): 92 % (1000 h continuous illumination of maximum power point tracking at 60 degrees C); IEC 61215 compliance (claimed proximity): None None (simulated UV preconditioning and light-soaking testing)
Stabilizing Fullerene for Burn-in-Free and Stable Perovskite Solar Cells under Ultraviolet Preconditioning and Light Soaking,,ADVANCED MATERIALS,30.2,C-60-cage,,,,,entity stabilized by Bphen through formation of thermodynamically stable charge-transfer complexes,,23.09,,,,,retained efficiency after UV irradiation: 95 % (1100 h UV irradiation); retained efficiency after continuous illumination (maximum power point tracking): 92 % (1000 h continuous illumination of maximum power point tracking at 60 degrees C); IEC 61215 compliance (claimed proximity): None None (simulated UV preconditioning and light-soaking testing)
Stereoscopic Polymer Network for Developing Mechanically Robust Flexible Perovskite Solar Cells with an Efficiency Approaching 25%,,ADVANCED MATERIALS,30.2,pentaerythritol triacrylate,19042,,crosslinked molecule with three stereoscopic crosslink sites,,establish a 3D polymer network in both the interface and bulk perovskite,both the interface and bulk perovskite,24.9,,,,polycrystal perovskite film,PCE retention after bending cycles: 92 % (after 20 000 bending cycles)
Strong Coupling of NiOx and Self-Assembled Molecules via Inserted Reductant for High-Performance Inverted Perovskite Solar Cells,,ADVANCED MATERIALS,30.2,9tris(2-carboxyethyl)phosphine hydrochloride (TCEP),,,inserted reductant,#NAME?,realize strong coupling between NiOx and SAMs; reduces NiOx and forms coordinated and hydrogen bonds; connects with SAM's -PO(OH)(2),between NiOx and SAMs,26.34,,,,inverted perovskite solar cells (PSCs),operational stability (illumination): 97.5 % (after 1000 h of operation under 1-sun illumination); thermal stability: 90.1 % (after 1000 h of thermal treatment at 85 degrees C in nitrogen atmosphere)
Suppressing Halide Segregation via Pyridine-Derivative Isomers Enables Efficient 1.68 eV Bandgap Perovskite Solar Cells,,ADVANCED MATERIALS,30.2,5-amino-3-pyridine carboxyl acid (APA-3),,,pyridine-derivative isomer containing amino and carboxyl,amino; carboxyl; N-terminal of pyridine,passivation agent / surface modifier,perovskite surface,22.35,,,,1.68 eV perovskite,efficiency retention: 90 % (after 985 h of operation at the maximum power point)
Suppressing Ion Migration by Synergistic Engineering of Anion and Cation toward High-Performance Inverted Perovskite Solar Cells and Modules,,ADVANCED MATERIALS,30.2,dimethylammonium trifluoroacetate (DMATFA),,,organic salt molecule,,selected to manipulate the surface of perovskite films; suppress ion migration via managing lead-based imperfections; stabilize heterojunction interface and silver electrode,surface of perovskite films; heterojunction interface and silver electrode,25.03,,,,inverted,efficiency retention: 91 % (maximum power point continuous tracking for 1520 h)
Suppressing Thermal Aggregation of Fullerene Enables ISOS-L-3 Stable Inverted Perovskite Solar Cells,,ADVANCED MATERIALS,30.2,"[6,6]-phenyl-C61-butyric acid methyl ester (PCBM)",,,,,,,26.39,,,,Inverted perovskite solar cells (PSCs),performance retention: 90 % (ISOS-L-3 (1 sun + RH >= 50% + 85 degrees C)); T-90: 250 h (ISOS-L-3 condition)
Suppressing Thermal Aggregation of Fullerene Enables ISOS-L-3 Stable Inverted Perovskite Solar Cells,,ADVANCED MATERIALS,30.2,3-aminopropyltrimethoxysilane (APTMS),83756,,,amino groups,,perovskite/ETL interfacial,26.39,,,,Inverted perovskite solar cells (PSCs),performance retention: 90 % (ISOS-L-3 (1 sun + RH >= 50% + 85 degrees C)); T-90: 250 h (ISOS-L-3 condition)
Synergistic Crystallization and Passivation by a Single Molecular Additive for High-Performance Perovskite Solar Cells,,ADVANCED MATERIALS,30.2,"N,N-dimethylimidodicarbonimidic diamide hydroiodide (DIAI)",,,single molecule additive,,"incorporated into the perovskite precursor to eliminate the influence of intermediate phases; effective at passivating surface defects, resulting in reduced defect density, increased carrier lifetime, and improved device efficiency and stability",surface,24.13,,,,alpha-FAPbI(3),"efficiency retention: 94.1 % (ambient exposure over 1000h, bare device without any encapsulation)"
Synergistic Crystallization and Passivation by a Single Molecular Additive for High-Performance Perovskite Solar Cells,,ADVANCED MATERIALS,30.2,dimethyl sulfoxide (DMSO),679,,,,interacts with DIAI and is involved in the intermediate phase that is eliminated,,24.13,,,,alpha-FAPbI(3),"efficiency retention: 94.1 % (ambient exposure over 1000h, bare device without any encapsulation)"
Synergistic Crystallization and Passivation by a Single Molecular Additive for High-Performance Perovskite Solar Cells,,ADVANCED MATERIALS,30.2,FAI-PbI2-DMSO complex,,,intermediate phase,,intermediate phase that is eliminated during crystallization,,24.13,,,,alpha-FAPbI(3),"efficiency retention: 94.1 % (ambient exposure over 1000h, bare device without any encapsulation)"
Tailoring Perovskite Surface Potential and Chelation Advances Efficient Solar Cells,,ADVANCED MATERIALS,30.2,spiro-OMeTAD,16161850,,hole transport layer,,hole transport layer,between the perovskite and spiro-OMeTAD,25.6,,,,,PCE retention: 91 % (after 500 h of maximum power point operation)
Thermally Crosslinked Hole Conductor Enables Stable Inverted Perovskite Solar Cells with 23.9% Efficiency,,ADVANCED MATERIALS,30.2,"Poly[bis(4-phenyl)(2,4,6-trimethylphenyl)amine] (PTAA)",,,hole transport material (HTM),"4-phenyl; 2,4,6-trimethylphenyl; amine; poly",state-of-the-art hole transport material (HTM) in inverted perovskite solar cells (PSCs),,23.9,,,,inverted perovskite solar cells (PSCs),shelf-life stability: 2500 h (unencapsulated devices under various operational stressors)
Thermally Crosslinked Hole Conductor Enables Stable Inverted Perovskite Solar Cells with 23.9% Efficiency,,ADVANCED MATERIALS,30.2,"10-(4-(3,6-dimethoxy-9H-carbazol-9-yl)phenyl)-3,7-bis(4-vinylphenyl)-10H-phenoxazine (MCz-VPOZ)",,,simple small molecule,"3,6-dimethoxy; 9H-carbazol; vinylphenyl; phenoxazine; phenyl",developed for in situ fabrication of polymer hole conductor (CL-MCz) via a facile and low-temperature cross-linking technology,,23.9,,,,inverted perovskite solar cells (PSCs),shelf-life stability: 2500 h (unencapsulated devices under various operational stressors)
Thermally Crosslinked Hole Conductor Enables Stable Inverted Perovskite Solar Cells with 23.9% Efficiency,,ADVANCED MATERIALS,30.2,CL-MCz,,,polymer hole conductor,,"polymer hole conductor offering high energy ordering, improved electrical conductivity, and appropriate energy-level alignment; provides satisfied surface wettability and interfacial functionalization",interfacial,23.9,,,,inverted perovskite solar cells (PSCs),shelf-life stability: 2500 h (unencapsulated devices under various operational stressors)
Waterproof and Flexible Perovskite Photodetector Enabled By P-type Organic Molecular Rubrene with High Moisture and Mechanical Stability,,ADVANCED MATERIALS,30.2,Rubrene,68203,,amorphous P-type organic small molecule,,protective layer and hole transport layer,,,,,,Metal halide perovskite films,photoluminescence intensity attenuation: 10 % (after immersed in water for 6000 min); structure and performance retention: None None (after being immersed in water for 6000 min)
Waterproof and Flexible Perovskite Photodetector Enabled By P-type Organic Molecular Rubrene with High Moisture and Mechanical Stability,,ADVANCED MATERIALS,30.2,PVK,,,,,component of Rubrene/PVK/ZnO heterojunction,,,,,,Metal halide perovskite films,photoluminescence intensity attenuation: 10 % (after immersed in water for 6000 min); structure and performance retention: None None (after being immersed in water for 6000 min)
Analysis of the charge generation and recombination processes in the PM6:Y6 organic solar cell,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,PM6,154703023,,,,component of representative PM6:Y6 blend / part of PM6:Y6 active layers,,,,,,,chemical stability: None None (None); device performance: None None (None)
Analysis of the charge generation and recombination processes in the PM6:Y6 organic solar cell,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,Y6,145705715,,,,forms excimer-like states that can efficiently dissociate and can adopt twisted conformations that lead to low-energy defect states; involved in triplet-state dynamics,,,,,,,chemical stability: None None (None); device performance: None None (None)
Defect-less formamidinium Sn-Pb perovskite grown on a fluorinated substrate with top-down crystallization control for efficient and stable photovoltaics,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,trifluoroacetamide (TFOA),67717,,,,modifier of NiOx hole-transport layer (HTL) that interacts with both NiOx and perovskite layers,NiOx and perovskite layers (bottom contact),21.12,,,80,FASn0.5Pb0.5I3,stability: None None (unencapsulated devices under various test scenarios)
Defect-less formamidinium Sn-Pb perovskite grown on a fluorinated substrate with top-down crystallization control for efficient and stable photovoltaics,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,formylhydrazide vapor (FHV),,,vapor,,dual-function treatment that offers a reducing atmosphere to prevent Sn2+ oxidation and helps to achieve top-down crystallization control,applied during the annealing process / during top-down crystallization,21.12,,,80,FASn0.5Pb0.5I3,stability: None None (unencapsulated devices under various test scenarios)
Design of strong and weak intermolecular interactions to engineer buried interfaces in inverted wide-bandgap perovskite solar cells,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,histamine,774,,molecule,ethylamine functional group; imidazole moiety,incorporation of the histamine molecule into Me-4PACz,interfaces between the charge extraction layers and the perovskite layer,20.34,1.364,,,lead mix-halide perovskites,PCE retention: 95.5 % (after 1000 hours of continuous illumination)
Design of strong and weak intermolecular interactions to engineer buried interfaces in inverted wide-bandgap perovskite solar cells,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,"[4-(3,6-dimethyl-9H-carbazol-9yl)butyl]phosphonic acid (Me-4PACz)",,,hole extracting layer / self-assembled monolayer (SAM),"phosphonic acid group; 3,6-dimethyl-9H-carbazol-9yl",one of the most common hole extracting layers,interfaces between the charge extraction layers and the perovskite layer,20.34,1.364,,,lead mix-halide perovskites,PCE retention: 95.5 % (after 1000 hours of continuous illumination)
Efficient 1.77 eV-bandgap perovskite and all-perovskite tandem solar cells enabled by long-alkyl phosphonic acid,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,dodecylphosphonic acid (DDPA),,,functionalized long-alkyl phosphonic acid molecule; additive,phosphonic acid; long-alkyl,"additive in WBG perovskite precursors; interacts with formamidine cations, halogen anions, and undercoordinated Pb2+; inhibits formation of vacancies; constrains grain tilting during growth",in WBG perovskite precursors; in the bulk and at the interface of WBG perovskites,28.65,,,,1.77 eV-bandgap perovskites,stabilized PCE: 27.2 % (None); stabilized PCE: 28.5 % (None)
Efficient rigid and flexible perovskite solar cells using strongly adsorbed molecules for lattice repair and grain boundary mitigation,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,"1,3,5-triazine-2,4-diamine hydrochloride (TDH)",,,Additive,triazine; diamine; hydrochloride,passivation,grain boundaries,26.15,,,86.07,crystalline perovskite materials,operational stability: None None (None)
Electrophilic molecule-induced π-π interactions reduce energy disorder of the hole transport layer for highly efficient perovskite solar modules,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,"Poly[bis(4-phenyl)(2,4,6-trimethylphenyl)amine] (PTAA)",,,polymer,phenyl; trimethylphenyl; amine,co-hole transport layer,between NiOx and the perovskite,20.6,,,,inverted,efficiency retention: 94 % (continuous operation for 1500 h under 1-sun illumination)
Electrophilic molecule-induced π-π interactions reduce energy disorder of the hole transport layer for highly efficient perovskite solar modules,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,"2,6-difluoro-3-nitrobenzonitrile (FCNO2)",2737030,,electrophilic molecule,difluoro; nitro; benzonitrile,co-assembled electrophilic molecule with PTAA to reduce energy disorder and enhance heterojunction interface,NiOx/PTAA,20.6,,,,inverted,efficiency retention: 94 % (continuous operation for 1500 h under 1-sun illumination)
Enhanced solar cell stability by hygroscopic polymer passivation of metal halide perovskite thin film,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,poly(ethylene oxide),,,functional hygroscopic polymer,,passivates undercoordinated defect sites; prevents water inclusion by screening water molecules,on top of the perovskite thin film,,,,,perovskite thin film,"power conversion efficiency retention: more than 95% % (over 15 h illumination, under load, in ambient atmosphere without encapsulation); operational and humidity stability: None None (None)"
Face-on oriented self-assembled molecules with enhanced π-π stacking for highly efficient inverted perovskite solar cells on rough FTO substrates,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,4PABCz,,,asymmetric SAM,additional conjugated groups; carbazole unit,hole transport layer (HTL),on FTO substrates and PET/ITO-based flexible PSCs,26.9,,,,inverted PSCs,retained efficiency: 93.98 % (after 1000 h of maximum power point tracking under the ISOS-L-2 protocol)
Face-on oriented self-assembled molecules with enhanced π-π stacking for highly efficient inverted perovskite solar cells on rough FTO substrates,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,4PACz,,,,carbazole unit,,,26.9,,,,inverted PSCs,retained efficiency: 93.98 % (after 1000 h of maximum power point tracking under the ISOS-L-2 protocol)
Halogenated polystyrene derivatives passivate and prevent volatilization in inverted perovskite solar cells,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,polystyrene,,,polymer,,bulk and interface passivation; prevent the volatilization of the methylammonium organic cation,bulk and interface,24,1.17,,,organolead halide perovskites,volatilization suppression temperature: 20 degrees C (high temperatures of 85 degrees C); structural stability duration at high temperature: 720 h (more than >720 h at high temperatures of 85 degrees C); retained efficiency under ISOS D-2: 95 % (after 2000 h under ISOS D-2 testing conditions); retained efficiency under ISOS D-1: 97 % (after 3500 h under ISOS D-1 testing conditions); retained efficiency under ISOS L-1: 95 % (after 500 h under ISOS L-1 testing conditions)
Halogenated polystyrene derivatives passivate and prevent volatilization in inverted perovskite solar cells,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,poly(pentafluorostyrene),,,polymer,,"combined interface and bulk passivation; improves efficiency, V-oc, storage and operational stability",combined interface and bulk,24,1.17,,,organolead halide perovskites,volatilization suppression temperature: 20 degrees C (high temperatures of 85 degrees C); structural stability duration at high temperature: 720 h (more than >720 h at high temperatures of 85 degrees C); retained efficiency under ISOS D-2: 95 % (after 2000 h under ISOS D-2 testing conditions); retained efficiency under ISOS D-1: 97 % (after 3500 h under ISOS D-1 testing conditions); retained efficiency under ISOS L-1: 95 % (after 500 h under ISOS L-1 testing conditions)
Hydroxylated non-fullerene acceptor for highly efficient inverted perovskite solar cells,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,IT-DOH,,,hydroxylated non-fullerene acceptor (NFA),#NAME?,modify the interface between the perovskite and the electron transport layer (ETL) for reduced defects and improved electron transport,between the perovskite and the electron transport layer (ETL),22.09,,,,inverted perovskite solar cells (i-PSCs),
Hydroxylated non-fullerene acceptor for highly efficient inverted perovskite solar cells,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,ITIC,126843541,,parent molecule,-CN; -C=O,parent molecule for comparison,,22.09,,,,inverted perovskite solar cells (i-PSCs),
Interfacial benzenethiol modification facilitates charge transfer and improves stability of cm-sized metal halide perovskite solar cells with up to 20% efficiency,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,spiro-OMeTAD,16161850,,hole-transporting material,,hole-transporting material,interface between the perovskite and a spiro-OMeTAD hole-transporting material,20.2,,,,Metal halide perovskite,retained performance: 80 % (after 185 h of continuous operation at 50% relative humidity and 50 degrees C device temperature under 1 sun irradiation); retained performance (no interfacial modification): 35 % (continuous operation under 1 sun irradiation (as compared in the same test))
Interfacial engineering of dopant-free phthalocyanine hole transporters for >22% efficiency perovskite solar modules,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,Spiro-OMeTAD,16161850,,hole transport material (HTM),,hole transport material (HTM),,22.12,,,,n-i-p structured perovskite photovoltaics,performance retention: 96 % (unencapsulated device retains over 96% of its initial performance after 2000 hours of continuous 1-sun illumination under maximum power point operating conditions); performance maintenance time: 1600 hours (encapsulated device maintains its original performance for over 1600 hours under water immersion and heating at 85 degrees C)
Ligand engineering of solution-processed NiOx for high-performance n-i-p perovskite photovoltaics,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,poly(3-hexylthiophene) (P3HT),,,poly(3-hexylthiophene),,incorporated into the optimized NiOx matrix as 4.2 wt% dopant-free additive,,24.32,,,,n-i-p halide perovskite,degradation: <5% % (700 hours of damp-heat operation (60 degrees C/50% RH))
Minimizing the buried interfacial energy loss using a fluorine-substituted small molecule for 25.92%-efficiency and stable inverted perovskite solar cells,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,Tetrafluorosuccinic acid (TFSA),67833,,,fluorine; succinic acid,interfacial regulator; stabilizes FA cations via multi-site hydrogen-bonding; passivates under-coordinated Pb2+ defects through coordination effects; regulates morphological arrangement and homogenizes surface contact potential of MeO-2PACz,buried interface / bottom interface,25.92,,,,RbCsFAMA-based perovskites,long-term operational stability: None None (None)
Minimizing the buried interfacial energy loss using a fluorine-substituted small molecule for 25.92%-efficiency and stable inverted perovskite solar cells,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,MeO-2PACz,154704514,,,,,surface contact potential,25.92,,,,RbCsFAMA-based perovskites,long-term operational stability: None None (None)
Molecular integration of Lewis bases for efficient and stable inverted perovskite solar cells,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,dimethyl acetonylphosphonate (DMAPA),,,novel Lewis base molecule,incorporates the functional groups of previously reported Lewis base molecules of acetone (ACT); incorporates the functional groups of previously reported Lewis base molecules of trimethyl phosphate (TP),passivator,,25.59,,,,halide perovskites,retained performance after annealing: 85 % (1600 hours of annealing at 65 degrees C); retained performance under illumination at MPP: 85 % (850 hours of operation under one-sun equivalent light illumination at the maximum power point (MPP) voltage)
Molecular integration of Lewis bases for efficient and stable inverted perovskite solar cells,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,acetone (ACT),180,,Lewis base molecule,,,,25.59,,,,halide perovskites,retained performance after annealing: 85 % (1600 hours of annealing at 65 degrees C); retained performance under illumination at MPP: 85 % (850 hours of operation under one-sun equivalent light illumination at the maximum power point (MPP) voltage)
Molecular integration of Lewis bases for efficient and stable inverted perovskite solar cells,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,trimethyl phosphate (TP),10541,,Lewis base molecule,,,,25.59,,,,halide perovskites,retained performance after annealing: 85 % (1600 hours of annealing at 65 degrees C); retained performance under illumination at MPP: 85 % (850 hours of operation under one-sun equivalent light illumination at the maximum power point (MPP) voltage)
Molecularly guided buried-interface regulation for efficient and stable inverted perovskite solar cells,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,2-aminothiazole hydrochloride (2-ATCl),80239,,multifunctional molecule,2-aminothiazole; hydrochloride,to stabilise and functionalize Al2O3 nanoparticles,buried interfaces,26.63,,,,Inverted perovskite solar cells (IPSCs),performance retention: 90 % (after 2000 h of storage); performance retention: 80 % (after 1000 h of continuous operation without encapsulation)
Redox mediator-modified self-assembled monolayer stabilizes a buried interface in efficient inverted perovskite solar cells,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,"[4-(3,6-dimethyl-9H-carbazol-9-yl)butyl]phosphonic acid (Me-4PACz)",164186534,,self-assembled monolayer (SAM),phosphonic acid; carbazol,interfacial layer,on NiOx,26.39,,,,inverted perovskite solar cells (PSCs),retained efficiency: 91 % (after 1500 hours of UV irradiation); retained efficiency: 90 % (after 1500 hours of operation under 1-sun illumination)
Redox mediator-modified self-assembled monolayer stabilizes a buried interface in efficient inverted perovskite solar cells,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,methylene blue,6099,,redox molecule,,co-absorbed with Me-4PACz to serve as a functionalized interfacial layer; redox mediator,interfacial layer,26.39,,,,inverted perovskite solar cells (PSCs),retained efficiency: 91 % (after 1500 hours of UV irradiation); retained efficiency: 90 % (after 1500 hours of operation under 1-sun illumination)
Semiconductor self-assembled monolayers as selective contacts for efficient PiN perovskite solar cells,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,MC-43,,,SAM molecule,,"hole transport organic molecule; used to replace the most common p-type contact, PEDOT:PSS",p-type contact in PiN perovskite solar cells,17.3,,,,methyl ammonium lead iodide,stability: None None (None)
Semiconductor self-assembled monolayers as selective contacts for efficient PiN perovskite solar cells,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,PEDOT:PSS,,,the most common p-type contact,,p-type contact (being replaced by SAMs),p-type contact,17.3,,,,methyl ammonium lead iodide,stability: None None (None)
Soft conjugation extension strategy of self-assembled molecules for achieving efficient and mechanically stable flexible perovskite solar cells,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,2-(9H-carbazol-9-yl)ethyl)phosphonic acid (2PACz),154704302,,self-assembled molecule (SAM),phosphonic acid; carbazol-9-yl,,,24.75,,,,,T80: >1000 hours (operational stability); PCE retention after bending: 97 % (after 4000 multidirectional bending cycles (radius: 4 mm)); bending cycles to catastrophic degradation: 1400 cycles (None)
Soft conjugation extension strategy of self-assembled molecules for achieving efficient and mechanically stable flexible perovskite solar cells,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,"(2-(3,6-bis(2-phenylthiophen-5-yl)-9H-carbazol-9-yl)ethyl)phosphonic acid (PhT-2PACz)",,,self-assembled molecule (SAM),"phosphonic acid; carbazol-9-yl; 3,6-bis(2-phenylthiophen-5-yl)","offers strong interactions at ""all-side"" interfaces, including ITO/SAMs and SAMs/perovskite interfaces, and improves electrical and mechanical contacts",ITO/SAMs and SAMs/perovskite interfaces; buried interface,24.75,,,,,T80: >1000 hours (operational stability); PCE retention after bending: 97 % (after 4000 multidirectional bending cycles (radius: 4 mm)); bending cycles to catastrophic degradation: 1400 cycles (None)
Suppressed surface lattice vacancies and distortion through lattice anchoring for efficient FAPbI3 perovskite quantum dot solar cells,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,tetrafluoroborate methylammonium (FABF4),,,multifunctional molecule,,stabilize the surface lattice of PQDs; occupy surface lattice vacancies and partly substitute ligands,PQD surface / surface lattice,17.06,,,,Formamidinium lead triiodide perovskite quantum dots (FAPbI3 PQDs),
Suppressed surface lattice vacancies and distortion through lattice anchoring for efficient FAPbI3 perovskite quantum dot solar cells,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,oleylamine,5356789,,ligands,,surface ligand at the PQD surface (partly substituted by FABF4),PQD surface,17.06,,,,Formamidinium lead triiodide perovskite quantum dots (FAPbI3 PQDs),
Suppressed surface lattice vacancies and distortion through lattice anchoring for efficient FAPbI3 perovskite quantum dot solar cells,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,oleic acid,445639,,ligands,,surface ligand at the PQD surface (partly substituted by FABF4),PQD surface,17.06,,,,Formamidinium lead triiodide perovskite quantum dots (FAPbI3 PQDs),
Surface charge transfer doping of narrow-bandgap Sn-Pb perovskites for high-performance tandem solar cells,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,benzyl viologen (BV),14196,,molecule,,to compensate excess holes and reduce the self-p-doping hole density,Sn/Pb binary metal perovskite surface,26.33,,,,narrow-bandgap Sn/Pb binary metal perovskites,PCE retention: 88.3 % (1000 h of operation at the maximum power point under 1-sun illumination)
Sustainable protection of natural liquid enables ultra-stable inverted perovskite solar cells via allylic disulfide rearrangement,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,diallyl disulfide (DAD),,,natural liquid waterproof agent; additive,,"additive to regulate perovskite crystallization, stabilize phase structure, passivate defects, regulate interface energy level, and form an oily barrier to protect perovskites from external stresses",,26.08,,,,,retained PCE: 91.6 % (after 2200 h of continuous light soaking (unencapsulated devices)); efficiency: 90.5 % (under 85 degrees C heat condition for 1200 h); efficiency: 98.5 % (after 12 light-dark cycling tests); retained efficiency: None % (after continuous 600 h of 1-sun illumination (module))
Synergistic transition metal ion co-doping and multiple functional additive passivation for realizing 25.30% efficiency perovskite solar cells,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,"4,4 '-dithiodibutyric acid",,,multifunctional molecule,,passivate the charged-traps in perovskites,perovskites,25.3,,,84.51,RbCsFAMA-based PSCs,efficiency_retention: 90 % (after 1200 h of continuous maximum output power point tracking under 1 sun illumination)
